file,bool0//0@1,bool0//1@2,bool0@0,bool9//0@4,bool9//1@5,bool9@3,bool4//0@7,bool4//1@8,bool4@6,bool1//0@10,bool1//1@11,bool1@9,bool5//0@13,bool5//1@14,bool5@12,bool8//0@16,bool8//1@17,bool8@15,bool2//0@19,bool2//1@20,bool2@18,bool7//0@22,bool7//1@23,bool7@21,bool3//0@25,bool3//1@26,bool3@24,bool6//0@28,bool6//1@29,bool6@27,EXPRESSION@30,abs_file,status,prediction,line,subject,oracle
toydatatest.38.expr,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.38.expr,valid,BUG,testsamples/toydata/test1/toydatatest.38.expr,toydata,BUG
toydatatest.73.expr,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.73.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.73.expr,toydata,NO_BUG
toydatatest.42.expr,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.42.expr,valid,BUG,testsamples/toydata/test1/toydatatest.42.expr,toydata,BUG
toydatatest.1.expr,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.1.expr,valid,BUG,testsamples/toydata/test1/toydatatest.1.expr,toydata,BUG
toydatatest.20.expr,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.20.expr,valid,BUG,testsamples/toydata/test1/toydatatest.20.expr,toydata,BUG
toydatatest.82.expr,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.82.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.82.expr,toydata,NO_BUG
toydatatest.11.expr,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.11.expr,valid,BUG,testsamples/toydata/test1/toydatatest.11.expr,toydata,BUG
toydatatest.46.expr,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.46.expr,valid,BUG,testsamples/toydata/test1/toydatatest.46.expr,toydata,BUG
toydatatest.5.expr,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.5.expr,valid,BUG,testsamples/toydata/test1/toydatatest.5.expr,toydata,BUG
toydatatest.77.expr,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.77.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.77.expr,toydata,NO_BUG
